country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Unemployment (% of labour force),International trade: Exports (million US$),International trade: Imports (million US$),Population growth rate (average annual %),Urban population (% of total population),"Fertility rate, total (live births per woman)","Life expectancy at birth (females/males, years)"
Mayotte,EasternAfrica,374,253,674.8,96.7,6542,1.3,6984,2.5,542,78,2.8,47,4.1,82.9/76.0
Mexico,CentralAmerica,1964375,129163,66.4,99.2,1140724,2.5,8980.9,4.1,373883,387064,1.4,79.2,2.3,78.9/74.0
Micronesia (Federated States of),Micronesia,702,106,150.8,105.1,315,3.7,3015.2,7.8,6,40,0.2,22.4,3.3,69.8/67.7
Monaco,WesternEurope,2,39,25969.8,94.7,6258,5.4,165870.6,3.3,78,87,0.6,100,1.5,77.1/72.6
Mongolia,EasternAsia,1564116,3076,2,97.9,11758,2.3,3973.4,6.3,4917,3358,1.9,72,2.8,72.7/64.5
Montenegro,SouthernEurope,13812,629,46.8,97.4,4020,4.5,6424.1,17.4,354,2263,0.1,64,1.7,78.8/74.0
Montserrat,Caribbean,103,5,51.8,106,59,0.4,11553.4,5.6,4,36,0.7,9,1.5,58.1/54.0
Morocco,NorthernAfrica,446550,35740,80.1,98.1,100359,4.4,2919.3,10.4,22858,41696,1.4,60.2,2.6,76.0/73.7
Mozambique,EasternAfrica,799380,29669,37.7,95.5,14806,6.6,529.2,24.1,3352,5295,2.9,32.2,5.4,58.1/54.0
Myanmar,South-easternAsia,676577,53371,81.7,95.5,62601,7.3,1161.5,0.8,11673,15696,0.9,34.1,2.3,68.3/63.7
Namibia,SouthernAfrica,824116,2534,3.1,94.7,11491,5.3,4673.6,24.9,4816,6721,2.2,46.7,3.6,64.3/59.1
Nauru,Micronesia,21,11,568,101.9,189,18.7,18469.2,23,27,584,2.3,100,3.9,64.8/57.8
Nepal,SouthernAsia,147181,29305,204.4,94.3,20658,2.7,724.5,3,703,5249,1.2,18.6,2.3,70.4/67.4
Netherlands,WesternEurope,41542,17036,505.2,99,750318,2,44332.1,5.6,511714,420969,0.3,90.5,1.7,83.1/79.4
New Caledonia,Melanesia,18575,276,15.1,101.5,8937,3.2,33965.7,15.1,1344,2422,1.4,70.2,2.2,79.3/73.7
New Zealand,Oceania,268107,4706,17.9,96.7,173417,3.1,38294.3,5.5,33833,36423,1.1,86.3,2,83.1/79.5
Nicaragua,CentralAmerica,130373,6218,51.7,97.2,12693,4.9,2086.9,6.1,2225,5927,1.2,58.8,2.3,77.5/71.4
Niger,WesternAfrica,1267000,21477,17,100.6,7143,3.6,359,2.7,927,1861,3.8,18.7,7.4,59.5/57.6
Nigeria,WesternAfrica,923768,190886,209.6,102.7,494583,2.7,2714.5,5.4,104084,36533,2.7,47.8,5.7,52.6/51.2
Niue,Polynesia,260,2,6.2,100,351,-1.4,65,8.7,6548,5201,-0.1,42.5,2.6,76.3/70.1
Northern Mariana Islands,Micronesia,457,55,119.9,107.1,356,3.4,3513,9.8,1735,4553,0.1,89.2,1.6,77.9/74.9
Norway,NorthernEurope,386194,5305,14.5,101.8,386578,1.6,74185.5,5.1,89120,72473,1.2,80.5,1.8,83.6/79.5
Oman,WesternAsia,309500,4636,15,192.8,69832,5.7,15550.8,17.8,24455,23260,6.5,77.6,2.9,78.7/74.5
Pakistan,SouthernAsia,796095,197016,255.6,105.6,266458,5.5,1410.4,5.9,20534,46998,2.1,38.8,3.7,66.8/65.0
Palau,Micronesia,459,22,47.2,113.3,258,5.7,12122.5,0.8,7,154,0.8,87.1,2.2,77.8/68.1
Panama,CentralAmerica,75320,4099,55.1,100.4,52132,5.8,13268.1,6.2,636,11697,1.7,66.6,2.6,80.5/74.3
Papua New Guinea,Melanesia,462840,8251,18.2,103.5,21315,6.6,2797.6,2.5,8760,8874,2.2,13,3.8,67.4/62.6
Paraguay,SouthAmerica,406752,6811,17.1,102.9,27714,3.1,4174.4,5.5,8494,9753,1.3,59.7,2.6,74.9/70.7
Peru,SouthAmerica,1285216,32166,25.1,99.8,190428,3.3,6069.1,5.3,36040,36185,1.3,78.6,2.5,76.8/71.5
Philippines,South-easternAsia,300000,104918,351.9,101.3,292449,5.9,2904.2,5.9,56313,85909,1.6,44.4,3,72.1/65.4
Poland,EasternEurope,312679,38171,124.6,93.4,477066,3.9,12355.5,5.3,196455,188518,0.6,60.5,1.3,81.0/72.9
Portugal,SouthernEurope,92226,10330,112.8,89.8,199122,1.6,19239.2,10.5,55658,67580,-0.4,63.5,1.3,83.5/77.3
Puerto Rico,Caribbean,8868,3663,413,92.6,102906,0.7,27939,12.8,758,89,-0.2,93.6,1.5,83.2/75.2
Qatar,WesternAsia,11607,2639,227.3,301.2,164641,3.6,73653.4,0.3,57254,32058,6.6,99.2,2,79.4/76.8
Republic of Korea,EasternAsia,100284,50982,524.3,100.2,1377873,2.6,27396.7,3.6,495418,406182,0.4,82.5,1.2,84.4/77.9
Republic of Moldova,EasternEurope,33846,4051,123.3,92.2,6475,-0.7,1591.4,5,2045,4020,-0.1,45,1.3,75.2/66.7
Romania,EasternEurope,238391,19679,85.5,94,177956,3.7,9120.7,7.1,63581,74605,-0.6,54.6,1.5,78.4/71.4
Russian Federation,EasternEurope,17098246,143990,8.8,86.8,1326016,-3.7,9243.3,5.8,285491,182257,0.1,74,1.7,75.9/64.7
Rwanda,EasternAfrica,26338,12208,494.9,96.2,8096,6.9,697.3,2.4,622,1778,2.5,28.8,4.2,67.1/63.1
Saint Helena,WesternAfrica,308,4,10.4,98.38,325468,4.5,654,3,85,48,-0.7,39.4,1.5,83.6/79.5
Saint Kitts and Nevis,Caribbean,261,55,212.9,98.38,876,3.8,15771.9,8,51,332,1.1,32,2.5,84.4/77.9
Saint Lucia,Caribbean,539,179,293.2,95.9,1450,1.9,7839.4,19,120,654,0.5,18.5,1.8,77.6/72.2
Saint Pierre and Miquelon,NorthernAmerica,242,6,27.5,98.2,65,5.6,978.5,8.9,653,2629,0.8,90.4,1.5,68.2/64.0
Saint Vincent and the Grenadines,Caribbean,389,110,281.8,101.7,738,1.6,6739.2,19.1,47,335,0.1,50.6,2,74.9/70.7
Samoa,Polynesia,2842,196,69.4,106.6,774,2.8,4006,6.5,56,350,0.8,19.1,4.2,77.4/71.1
San Marino,SouthernEurope,61,33,556.7,94.9,1565,1,49240.2,6.6,876,4522,1.2,94.2,1.5,86.4/81.7
Sao Tome and Principe,MiddleAfrica,964,204,212.8,99.2,334,4,1752.8,13.6,10,6523,2.2,65.1,4.7,68.2/64.0
Saudi Arabia,WesternAsia,2206714,32938,15.3,132.9,653219,3.4,20710.6,5.5,182329,135904,2.8,83.1,2.7,75.6/72.7
Senegal,WesternAfrica,196712,15851,82.3,96.6,13633,6.5,901.1,9.3,2640,5478,3,43.7,5,67.5/63.8
Serbia,SouthernEurope,88499,8791,100.5,95.6,37160,0.8,5238.6,15.5,14852,19231,-0.4,55.6,1.6,77.5/71.8
Seychelles,EasternAfrica,457,95,206,97.2,1363,6.8,14133.2,4.1,335,833,0.5,53.9,2.4,77.9/68.7
Sierra Leone,WesternAfrica,72300,7557,104.7,98.1,4483,-20.3,694.8,3.1,466,958,2.3,39.9,4.8,50.7/49.6
Singapore,South-easternAsia,719,5709,8155.5,97.7,292734,2,52239,2,329871,283009,1.7,100,1.2,84.5/80.1
Sint Maarten (Dutch part),Caribbean,34,40,1180,95.7,1094,0.5,28241.7,8.8,8752,8746,3.1,100,1.5,77.1/69.2
Slovakia,EasternEurope,49035,5448,113.3,94.6,87268,3.8,16082.5,9.9,77565,75156,0.1,53.6,1.4,79.8/72.6
Slovenia,SouthernEurope,20273,2080,103.3,98.6,42777,2.3,20689.8,8.1,27585,26646,0.3,49.7,1.6,83.2/77.2
Solomon Islands,Melanesia,28896,611,21.8,103.4,1075,3.2,1841.6,31.4,437,454,2.1,22.3,4.1,71.1/68.3
Somalia,EasternAfrica,637657,14742,23.5,99.3,1559,2.7,144.5,6.6,925,530,2.9,39.6,6.6,56.5/53.3
South Africa,SouthernAfrica,1221037,56717,46.8,96.4,314571,1.3,5773,26,74111,74744,1.4,64.8,2.6,63.0/56.1
South Sudan,EasternAfrica,658841,12576,20.6,100.4,13167,2,1067,20,2389,750,3.3,18.8,5.2,56.0/54.1
Spain,SouthernEurope,505944,46354,92.9,96.2,1192955,3.2,25865.4,18.3,281777,302539,-0.2,79.6,1.3,85.3/79.6
Sri Lanka,SouthernAsia,65610,20877,332.9,92.5,82316,4.8,3973.7,5.2,10546,19501,0.5,18.4,2.1,78.0/71.2
State of Palestine,WesternAsia,6020,4921,817.4,102.9,12677,3.5,2715.5,24.2,929,5058,2.7,75.3,4.2,74.8/71.1
Sudan,NorthernAfrica,1886068,40533,23,99.9,79546,4.9,1977,13.4,1797,7658,2.3,33.8,4.8,65.1/62.1
Suriname,SouthAmerica,163820,563,3.6,100.7,4879,-2.7,8985.3,9.9,1437,1244,1,66,2.5,74.2/67.8
Swaziland,SouthernAfrica,17363,1367,79.5,93.9,4133,1.7,3211.7,25.1,1881,733,1.8,21.3,3.3,58.2/51.6
Sweden,NorthernEurope,438574,9911,24.2,100.2,495694,4.1,50687.5,7.3,139574,140838,0.8,85.8,1.9,83.7/80.0
Switzerland,WesternEurope,41291,8476,214.5,98.2,670790,0.8,80831.1,4.6,304691,269157,1.2,73.9,1.5,84.8/80.5
Syrian Arab Republic,WesternAsia,185180,18270,99.5,102.1,28393,-5.3,1534.5,13.8,1265,2383,-2.3,57.7,3.1,76.3/64.4
Tajikistan,CentralAsia,142600,8921,63.7,100.9,7853,4.2,925.9,10.8,899,3030,2.2,26.8,3.5,73.5/67.7
Thailand,South-easternAsia,513120,69038,135.1,95.2,395168,2.8,5814.8,0.6,213927,195666,0.4,50.4,1.5,78.4/70.8
The former Yugoslav Republic of Macedonia,SouthernEurope,25713,2083,82.6,100,10052,3.8,4836.1,27.3,4785,6757,0.1,57.1,1.5,77.2/73.2
Timor-Leste,South-easternAsia,14919,1296,87.2,103.2,2873,4.3,2425.4,4.3,94,647,2.2,32.8,5.9,69.5/66.1
Togo,WesternAfrica,56785,7798,143.4,99.4,4086,5.5,559.4,6.8,715,1716,2.6,40,4.7,59.8/58.3
Tokelau,Polynesia,12,1,130,100,654,5.6,8652,7,87,1,1.9,12,2.1,73.5/67.7
Tonga,Polynesia,747,108,150,100.7,402,3.8,3784.5,4.8,14,209,0.4,23.7,3.8,75.6/69.6
Trinidad and Tobago,Caribbean,5127,1369,266.9,97.1,25927,0.2,19062.9,4.2,4576,4826,0.5,8.4,1.8,73.8/66.9
Tunisia,NorthernAfrica,163610,11532,74.2,97.6,41199,0.8,3660.9,14.6,13483,19456,1.2,66.8,2.3,77.1/73.0
Turkey,WesternAsia,783562,80745,104.9,97,717888,4,9125.8,10.8,142606,198602,1.6,73.4,2.1,78.1/71.5
Turkmenistan,CentralAsia,488100,5758,12.3,97,37597,6.5,6996.7,8.6,3741,2616,1.8,50,3,70.8/63.9
Turks and Caicos Islands,Caribbean,948,35,37.3,104.1,863,4.1,25121.8,8,4,389,2,92.2,1.2,77.8/75.8
Tuvalu,Polynesia,26,11,373.1,102,33,3.5,3362.4,5.8,782,12,0.9,59.7,3.6,78.1/71.5
Uganda,EasternAfrica,241550,42863,214.5,99,25282,5.4,647.7,2.4,2755,3750,3.4,16.1,5.9,60.7/56.5
Ukraine,EasternEurope,603500,44223,76.3,86,90615,-9.9,2021.6,8.8,36369,39184,-0.5,69.7,1.5,76.0/66.1
United Arab Emirates,WesternAsia,83600,9400,112.4,262.4,370296,3.8,40438.8,3.7,195613,201908,2,85.5,1.8,78.2/76.0
United Kingdom,NorthernEurope,242495,66182,273.6,97.4,2858003,2.2,44162.4,5,415856,635570,0.6,82.6,1.9,82.8/79.0
United Republic of Tanzania,EasternAfrica,947303,57310,64.7,97.8,45628,7,877.3,2.7,4742,7876,3.1,31.6,5.2,64.8/60.8
United States of America,NorthernAmerica,9833517,324460,35.5,98,18036648,2.6,56053.8,4.9,1453167,2249661,0.7,81.6,1.9,81.2/76.5
